designation,discovery_date,h_mag,moid_au,q_au,Q_au,period_yr,i_deg,pha,orbit_class,a_au,e,tisserand_jupiter,long_period_flag,log_moid_au,log_q_au,log_Q_au,log_period_yr,log_i_deg,log_a_au,log_tisserand_jupiter,orbit_segment,ecc_segment,tisserand_class
(2010 HZ108),2010-04-25,20.9,0.108,0.99,1.51,1.39,22.88,N,Apollo,1.25,0.208,5.043670675293333,False,0.10255658832509207,0.688134638736401,0.9202827531436925,0.8712933659434192,3.1730412885244013,0.8109302162163288,2.0346512417054265,Inner (NEA),Low-e,Stable
(2010 HX107),2010-04-20,23.6,0.014,0.56,1.04,0.72,3.36,N,Aten,0.8,0.3,7.247045086800867,False,0.013902905168991422,0.4446858212614457,0.712949807856125,0.5423242908253616,1.4724720573609429,0.5877866649021191,2.287771736583537,Inner (NEA),Low-e,Stable
(2010 HZ104),2010-04-23,22.5,0.029,0.97,3.52,3.37,20.24,N,Apollo,2.245,0.5679287305122493,3.33109635977066,False,0.02858745685191255,0.6780335427498971,1.5085119938441398,1.4747630091074988,3.055886196373738,1.1771153501560532,1.7812055535492854,Near-Jupiter,Moderate-e,Transition
(2010 HW81),2010-04-25,21.4,0.117,0.33,2.1,1.33,12.77,N,Apollo,1.215,0.728395061728395,4.925830961625207,False,0.11064652008706366,0.28517894223366236,1.1314021114911006,0.8458682675776092,2.6224923127405635,0.795252403497099,2.0191266339479417,Inner (NEA),High-e,Asteroidal
(2010 HD33),2010-04-20,18.3,0.372,1.27,3.97,4.24,24.43,N,Amor,2.62,0.5152671755725191,3.0924760773550464,False,0.31626952930369345,0.8197798314933114,1.6034198401085373,1.6563214983329508,3.235929579434028,1.2864740258376797,1.7401835395460745,Near-Jupiter,Moderate-e,Transition
(2010 GV147),2010-04-14,18.5,0.316,0.33,1.59,0.94,44.05,N,Aten,0.96,0.65625,5.88269896877754,False,0.2745968329031254,0.28517894223366236,0.9516578757114464,0.6626879730752367,3.807772984054347,0.6729444732424258,2.1387255120349824,Inner (NEA),High-e,Stable
(2010 GR75),2010-04-13,19.6,0.299,0.63,2.82,2.27,17.78,N,Apollo,1.725,0.6347826086956522,3.8620581524951545,False,0.2615947376884625,0.48858001481867097,1.3402504226184837,1.184789984909162,2.932792473780117,1.0024684281152074,1.86686250163174,Inner (NEA),High-e,Asteroidal
(2010 GQ75),2010-04-12,20.2,0.598,0.33,4.53,3.79,43.23,N,Apollo,2.43,0.8641975308641975,2.641135448055567,False,0.46875284734408285,0.28517894223366236,1.7101878155342434,1.5665304114228238,3.789403291880235,1.2325602611778486,1.6576657427456802,Near-Jupiter,High-e,JFC
(2010 GP67),2010-04-11,22.3,0.018,0.99,1.23,1.18,13.27,N,Apollo,1.11,0.1081081081081081,5.578779035382681,False,0.017839918128330995,0.688134638736401,0.8020015854720274,0.7793248768009976,2.658159431488745,0.7466879474879752,2.102265600402171,Inner (NEA),Low-e,Stable
(2010 GH65),2010-04-10,18.8,0.15,1.05,4.36,4.45,21.04,N,Amor,2.705,0.611829944547135,2.987288025314623,False,0.1397619423751587,0.7178397931503168,1.6789639750827106,1.6956156086751526,3.0928589842847134,1.3096832587480502,1.7215517805825922,Near-Jupiter,High-e,JFC
(2010 GX62),2010-04-10,20.0,0.013,0.87,5.03,5.07,21.66,Y,Apollo,2.95,0.7050847457627119,2.755505885103326,False,0.012916225266546328,0.6259384308664953,1.796747010739094,1.803358605071407,3.12060125559986,1.3737155789130304,1.6792286815027673,Near-Jupiter,High-e,JFC
(2010 GW62),2010-04-09,19.4,0.44,0.54,2.0,1.43,32.43,N,Apollo,1.27,0.5748031496062992,4.777149202403259,False,0.36464311358790924,0.4317824164255378,1.0986122886681096,0.887891257352457,3.509453700432007,0.8197798314933114,1.9991885026140892,Inner (NEA),Moderate-e,Asteroidal
(2010 GF25),2010-04-02,19.1,0.399,0.37,2.47,1.7,38.49,N,Apollo,1.4200000000000002,0.7394366197183098,4.212701080383399,False,0.33575769568334407,0.3148107398400335,1.244154593958768,0.9932517730102833,3.676047475298558,0.883767540168595,1.9196562561196506,Inner (NEA),High-e,Asteroidal
(2010 GE25),2010-04-01,20.0,0.22,1.1,3.03,2.97,21.66,N,Amor,2.065,0.4673123486682808,3.553741037842736,False,0.19885085874516517,0.7419373447293773,1.3937663759585914,1.378766094699099,3.12060125559986,1.1200475693881746,1.8180206342411296,Near-Jupiter,Moderate-e,Asteroidal
(2010 GK23),2010-04-05,19.7,0.097,0.87,4.43,4.32,34.77,N,Apollo,2.65,0.6716981132075471,2.8311183640146305,False,0.0925791812930932,0.6259384308664953,1.6919391339458438,1.671473303353553,3.5771095532709265,1.2947271675944,1.6932332305188322,Near-Jupiter,High-e,JFC
C/2010 G3 (WISE),2010-04-14,20.3,4.492,4.91,5260.08,135070.2,108.27,Unknown,Comet,2632.495,0.998134849258973,-0.8592414897654146,True,1.7032924879057245,1.7766458314180067,8.56809160784975,11.813557325797568,4.693821883582654,7.876067140307629,0.5577120566143561,Extreme,Very-high-e,
C/2010 FB87 (WISE-Garradd),2010-03-28,20.3,2.538,2.84,595.66,5176.82,107.63,Unknown,Comet,299.25,0.9905096073517126,-0.614197407366713,True,1.2635615957375934,1.3454723665996353,6.391347436919912,8.552139397250707,4.687947612445659,5.704615460960093,0.6889964390106322,Extreme,Very-high-e,
(2010 FJ81),2010-03-31,20.8,0.128,1.14,6.06,6.82,42.54,N,Amor,3.6,0.6833333333333333,2.339641559553184,False,0.12044615307586716,0.76080582903376,1.9544450515051506,2.05668455455722,3.773680055806401,1.5260563034950492,1.5984891304045696,Near-Jupiter,High-e,JFC
(2010 FH81),2010-03-31,21.6,0.034,0.97,1.48,1.36,16.79,Y,Apollo,1.225,0.2081632653061224,5.153883105037188,False,0.033434776086237385,0.6780335427498971,0.9082585601768908,0.8586616190375187,2.8786365016777435,0.7997569156182036,2.0489560753643064,Inner (NEA),Low-e,Stable
(2010 FG81),2010-03-26,23.3,0.019,1.01,2.31,2.14,7.97,N,Apollo,1.66,0.3915662650602409,4.162265489044897,False,0.018821754240587758,0.6981347220709844,1.1969481893889715,1.144222799920162,2.1938856760707046,0.9783261227936076,1.9122320135271653,Inner (NEA),Moderate-e,Asteroidal
(2010 FC81),2010-03-30,21.8,0.027,1.01,4.35,4.38,1.68,Y,Apollo,2.68,0.623134328358209,3.062780862050368,False,0.026641930946421175,0.6981347220709844,1.677096560907915,1.6826883741736929,0.9858167945227652,1.3029127521808395,1.7349587545522518,Near-Jupiter,High-e,Transition
(2010 FB81),2010-03-30,21.4,0.096,1.02,4.14,4.14,9.48,N,Amor,2.58,0.6046511627906976,3.122246820027124,False,0.0916671885258238,0.7030975114131134,1.6370530794670737,1.6370530794670737,2.349468678892896,1.275362800412609,1.7453943533498473,Near-Jupiter,High-e,Transition
