designation,discovery_date,h_mag,moid_au,q_au,Q_au,period_yr,i_deg,pha,orbit_class,a_au,e,tisserand_jupiter,long_period_flag,log_moid_au,log_q_au,log_Q_au,log_period_yr,log_i_deg,log_a_au,log_tisserand_jupiter,orbit_segment,ecc_segment,tisserand_class
356394 (2010 QD2),2010-08-21,17.4,0.061,0.43,3.59,2.85,10.64,N,Apollo,2.01,0.7860696517412935,3.3424696679917663,False,0.05921185963184609,0.35767444427181594,1.5238800240724537,1.3480731482996928,2.454447442303292,1.1019400787607843,1.7831193838072872,Near-Jupiter,High-e,Transition
(2015 HF11),2015-04-17,19.2,0.225,1.22,2.93,2.99,34.89,N,Amor,2.075,0.4120481927710843,3.450259216087479,False,0.2029408439966903,0.7975071958841881,1.3686394258811698,1.3837912309017721,3.580458705159516,1.1233049012584813,1.8010779743164809,Near-Jupiter,Moderate-e,Transition
(2015 GK50),2015-04-05,20.5,0.237,1.03,5.12,5.39,19.07,N,Amor,3.075,0.665040650406504,2.7765982386470696,False,0.21268909341035083,0.7080357930536959,1.8115620965242347,1.8547342683894432,2.9992261628082466,1.404870746692826,1.6831550622389253,Near-Jupiter,High-e,JFC
(2015 GJ46),2015-04-11,19.3,0.238,0.67,5.06,4.85,18.22,N,Apollo,2.865,0.7661431064572426,2.7212412129392582,False,0.21349717426240433,0.5128236264286637,1.8017098000812228,1.766441661243765,2.955951403542146,1.3519616820393854,1.672817201055636,Near-Jupiter,High-e,JFC
(2015 FT344),2015-03-23,20.5,0.203,1.09,4.01,4.07,12.55,N,Amor,2.55,0.5725490196078432,3.1600488890375065,False,0.18481843699254183,0.7371640659767197,1.6114359150967734,1.6233408176030917,2.6063865473257097,1.2669476034873244,1.751972011984748,Near-Jupiter,Moderate-e,Transition
(2015 FD341),2015-03-27,18.0,0.124,0.31,1.6,0.93,20.55,N,Aten,0.955,0.675392670157068,6.036878306364452,False,0.11689375147149933,0.27002713721306015,0.9555114450274363,0.6575200029167942,3.0703758165497566,0.6703901934373291,2.1567256134456083,Inner (NEA),High-e,Stable
(2015 FU332),2015-03-31,17.3,0.269,0.67,4.59,4.27,36.11,N,Apollo,2.63,0.7452471482889734,2.7433910505396315,False,0.2382291887322506,0.5128236264286637,1.7209792871670078,1.6620303625532709,3.613886475072506,1.2892326482767593,1.6769664925710053,Near-Jupiter,High-e,JFC
(2015 FE120),2015-03-23,21.1,0.013,1.01,3.49,3.38,22.8,Y,Apollo,2.25,0.5511111111111112,3.3231027421848784,False,0.012916225266546328,0.6981347220709844,1.501852701754163,1.4770487243883548,3.169685580677429,1.178654996341646,1.7798582416141857,Near-Jupiter,Moderate-e,Transition
(2015 FY117),2015-03-20,21.2,0.15,1.14,2.9,2.87,24.33,N,Amor,2.02,0.4356435643564356,3.596636388202408,False,0.1397619423751587,0.76080582903376,1.3609765531356006,1.3532545070416904,3.2319894640135836,1.1052568313867783,1.8249604199962701,Near-Jupiter,Moderate-e,Asteroidal
(2015 DX198),2015-02-17,22.1,0.074,1.02,2.25,2.1,11.05,N,Amor,1.635,0.3761467889908256,4.200271620485559,False,0.07138999608667294,0.7030975114131134,1.178654996341646,1.1314021114911006,2.489064659936664,0.9688831819933257,1.9178317208170417,Inner (NEA),Moderate-e,Asteroidal
(2015 BY516),2015-01-30,22.3,0.139,0.97,3.77,3.66,12.71,N,Apollo,2.37,0.590717299578059,3.256855412384961,False,0.1301506844650451,0.6780335427498971,1.5623463049002497,1.5390154481375544,2.618125493574223,1.2149127443642702,1.7686219393750646,Near-Jupiter,Moderate-e,Transition
(2015 AK280),2015-01-15,21.8,0.049,0.79,4.53,4.33,11.37,Y,Apollo,2.66,0.7030075187969925,2.952224774602537,False,0.04783732941416012,0.5822156198526636,1.7101878155342434,1.673351238177753,2.5152741864043966,1.297463147413275,1.7152631427637677,Near-Jupiter,High-e,JFC
(2015 AY245),2015-01-14,21.2,0.019,1.0,1.25,1.2,13.59,Y,Apollo,1.125,0.1111111111111111,5.52083841297406,False,0.018821754240587758,0.6931471805599453,0.8109302162163288,0.7884573603642702,2.6803363625346943,0.7537718023763801,2.095161279393443,Inner (NEA),Low-e,Stable
(2015 AC17),2015-01-03,19.9,0.238,1.22,3.29,3.39,29.25,N,Amor,2.255,0.458980044345898,3.32691763050057,False,0.21349717426240433,0.7975071958841881,1.4562867329399256,1.47932922708708,3.4094961844768505,1.1801922756605325,1.7805014616061352,Near-Jupiter,Moderate-e,Transition
(2014 YR43),2014-12-26,19.5,0.303,0.97,4.0,3.92,26.46,N,Apollo,2.485,0.6096579476861168,3.073677771632032,False,0.26466929814270806,0.6780335427498971,1.6094379124341003,1.5933085305042167,3.312730400339825,1.2484680442124871,1.7368792056220943,Near-Jupiter,High-e,Transition
(2014 YS14),2014-12-24,21.1,0.127,0.84,4.09,3.87,18.29,N,Apollo,2.465,0.6592292089249493,3.0926547595192284,False,0.11955923505763925,0.6097655716208942,1.6272778305624314,1.5830939370944983,2.9595868269176377,1.2427126326418665,1.7402148956638008,Near-Jupiter,High-e,Transition
(2014 XX31),2014-12-11,17.5,0.475,0.36,5.28,4.73,35.78,N,Apollo,2.8200000000000003,0.8723404255319148,2.428137669614136,False,0.3886579897917831,0.3074846997479606,1.8373699804801074,1.745715530726648,3.6049542191761748,1.340250422618484,1.6162249877875796,Near-Jupiter,High-e,JFC
(2014 XX7),2014-12-10,19.7,0.183,1.17,4.64,4.94,36.71,N,Amor,2.905,0.5972461273666093,2.7511945595111293,False,0.16805358499624973,0.7747271675523681,1.7298840655099674,1.7817091333745536,3.6299253112702656,1.3622577832916491,1.6784242191089638,Near-Jupiter,Moderate-e,JFC
(2014 XQ7),2014-12-06,20.6,0.312,0.66,4.65,4.32,31.05,N,Apollo,2.655,0.751412429378531,2.7664213867844683,False,0.2715526905218973,0.5068176023684519,1.7316555451583495,1.671473303353553,3.467297183366679,1.2960960932017418,1.6812625469932105,Near-Jupiter,High-e,JFC
(2014 VP35),2014-11-14,23.3,0.026,0.95,1.98,1.78,9.17,N,Apollo,1.465,0.3515358361774744,4.530598242508644,False,0.025667746748577788,0.6678293725756554,1.091923300517313,1.0224509277025455,2.3194422100604686,0.9021918074946534,1.9652240535313297,Inner (NEA),Moderate-e,Asteroidal
(2014 UH210),2014-10-20,21.1,0.099,0.89,4.25,4.11,22.06,N,Apollo,2.57,0.6536964980544747,3.0094737941941063,False,0.09440067542148432,0.636576829071551,1.6582280766035322,1.631199404215613,3.138099514840913,1.2725655957915476,1.7255104946863056,Near-Jupiter,High-e,Transition
(2014 UF206),2014-10-31,18.8,0.136,1.11,3.74,3.78,48.05,N,Amor,2.4250000000000003,0.5422680412371134,2.9114429162838835,False,0.12751332029895962,0.7466879474879752,1.556037135706985,1.5644405465033646,3.8928401860113717,1.2311014717141886,1.7078987682592033,Near-Jupiter,Moderate-e,JFC
(2014 UG176),2014-10-25,21.5,0.16,0.78,4.62,4.44,16.3,N,Apollo,2.7,0.711111111111111,2.8984444247030288,False,0.14842000511827327,0.5766133643039938,1.7263316639055997,1.6937790608678513,2.8507065015037334,1.3083328196501787,1.7055400610599503,Near-Jupiter,High-e,JFC
(2014 TJ64),2014-10-07,21.2,0.154,1.05,4.19,4.24,14.91,N,Amor,2.62,0.5992366412213741,3.0829932508907607,False,0.14323416808590783,0.7178397931503168,1.6467336971777973,1.6563214983329508,2.7669478423496954,1.2864740258376797,1.7385180293141969,Near-Jupiter,Moderate-e,Transition
(2014 TF64),2014-10-05,20.1,0.131,0.94,2.29,2.05,52.66,N,Apollo,1.615,0.4179566563467493,3.8339802147653934,False,0.1231021971339834,0.6626879730752367,1.1908875647772805,1.11514159061932,3.982667844997478,0.9612640975168862,1.8625119784692388,Inner (NEA),Moderate-e,Asteroidal
(2014 TW57),2014-10-10,20.1,0.062,0.57,3.78,3.21,6.75,N,Apollo,2.175,0.7379310344827587,3.2576890392058235,False,0.060153922819747095,0.4510756193602166,1.5644405465033646,1.43746264769429,2.0476928433652555,1.155307632344655,1.7687641192264263,Near-Jupiter,High-e,Transition
(2014 SR339),2014-09-30,18.6,0.036,0.9,1.69,1.48,29.79,Y,Apollo,1.295,0.305019305019305,4.840348765907443,False,0.03536714383729131,0.6418538861723948,0.9895411936137477,0.9082585601768908,3.427189961936409,0.8307328435125084,2.0077121474103383,Inner (NEA),Moderate-e,Asteroidal
(2014 RH12),2014-09-03,23.5,0.045,1.01,3.35,3.22,7.23,N,Apollo,2.18,0.5366972477064219,3.4692886111682366,False,0.04401688541677432,0.6981347220709844,1.4701758451005926,1.4398351280479205,2.1077860146889784,1.1568811967920856,1.8042151969516436,Near-Jupiter,Moderate-e,Transition
(2014 QK433),2014-08-28,18.2,0.18,1.19,4.78,5.16,39.22,N,Amor,2.9850000000000003,0.6013400335008375,2.680016892412609,False,0.16551443847757338,0.7839015438284094,1.7544036826842861,1.8180767775454283,3.6943643843445058,1.3825373122421785,1.6650485776388473,Near-Jupiter,High-e,JFC
(2014 PP69),2014-08-05,20.0,1.617,1.25,41.78,99.82,93.63,N,Amor,21.515,0.941900999302812,0.155177066439707,False,0.9620286235480088,0.8109302162163288,3.7560707036542595,4.6133367486544845,4.549974550520141,3.114181753753535,1.015625600125662,Main Belt,Very-high-e,HTC/Parabolic
(2014 PF68),2014-08-15,18.2,0.17,1.17,4.53,4.81,22.75,N,Amor,2.85,0.5894736842105264,2.927556295462277,False,0.15700374880966475,0.7747271675523681,1.7101878155342434,1.7595805708638197,3.16758253048065,1.3480731482996928,1.7108150011943362,Near-Jupiter,Moderate-e,JFC
(2014 PC68),2014-08-08,20.4,0.104,1.09,1.95,1.87,40.68,N,Amor,1.52,0.2828947368421052,4.20757956553165,False,0.09893994785490356,0.7371640659767197,1.0818051703517284,1.0543120297715298,3.7300213974451113,0.9242589015233319,1.9189048660185128,Inner (NEA),Low-e,Asteroidal
(2014 OZ1),2014-07-20,21.0,0.231,1.08,2.35,2.24,18.0,N,Amor,1.715,0.3702623906705539,4.046795054416613,False,0.20782684720231645,0.7323678937132266,1.208960345836975,1.1755733298042381,2.9444389791664403,0.9987919533858988,1.8950240174090096,Inner (NEA),Moderate-e,Asteroidal
(2014 OY1),2014-07-21,19.1,0.042,0.97,4.19,4.14,23.01,Y,Apollo,2.58,0.6240310077519381,3.028727366143145,False,0.04114194333117518,0.6780335427498971,1.6467336971777973,1.6370530794670737,3.178470410233162,1.275362800412609,1.7289333469213222,Near-Jupiter,High-e,Transition
(2014 NM64),2014-07-11,22.6,0.051,1.06,4.62,4.79,28.78,N,Amor,2.84,0.6267605633802817,2.840430548790708,False,0.04974209189481408,0.7227059828014897,1.7263316639055997,1.7561322915849038,3.393837027255863,1.3454723665996353,1.6949444987425688,Near-Jupiter,High-e,JFC
(2014 NE64),2014-07-07,18.8,0.39,1.2,3.01,3.06,41.63,N,Amor,2.105,0.4299287410926365,3.3290424721033487,False,0.32930374714260036,0.7884573603642702,1.3887912413184778,1.4011829736136412,3.752558230777119,1.133013715385442,1.7808595471936037,Near-Jupiter,Moderate-e,Transition
(2014 NC64),2014-07-13,20.2,0.196,0.8,3.57,3.23,22.68,N,Apollo,2.185,0.6338672768878717,3.305049428932157,False,0.17898265552844,0.5877866649021191,1.5195132049061133,1.4422019930581866,3.164630810015805,1.1584522890241267,1.7768086875374702,Near-Jupiter,High-e,Transition
(2014 NF3),2014-07-01,20.8,0.215,0.66,1.94,1.48,13.53,N,Apollo,1.3,0.4923076923076922,4.846264923350921,False,0.19474407679251177,0.5068176023684519,1.0784095813505903,0.9082585601768908,2.6762154775821916,0.832909122935104,2.0085063456989243,Inner (NEA),Moderate-e,Asteroidal
C/2014 N3 (NEOWISE),2014-07-04,20.3,2.888,3.88,16441.51,745640.58,61.63,Unknown,Comet,8222.695,0.9995281352403316,1.1614154912889425,True,1.3578948865981926,1.5851452198650557,9.707625333355342,13.52200030796597,4.137244396537321,9.014774900431346,1.3263661615389155,Extreme,Very-high-e,HTC/Parabolic
(2014 MQ18),2014-06-22,15.6,0.192,1.16,4.63,4.93,35.09,N,Amor,2.895,0.5993091537132987,2.773684164546542,False,0.17563256864315802,0.7701082216960736,1.7281094421515988,1.780024213009634,3.586015818654697,1.3596936793227115,1.6826135188920917,Near-Jupiter,Moderate-e,JFC
(2014 LQ25),2014-06-08,20.0,0.099,0.65,3.39,2.88,33.57,N,Apollo,2.02,0.6782178217821783,3.337502657335636,False,0.09440067542148432,0.5007752879124893,1.47932922708708,1.355835153635182,3.542986253933533,1.1052568313867783,1.7822840163210183,Near-Jupiter,High-e,Transition
P/2014 L2 (NEOWISE),2014-06-07,20.3,1.224,2.23,10.42,15.91,5.18,Unknown,Jupiter-family Comet,6.325,0.6474308300395256,2.4963332729848284,False,0.7993073763883359,1.172482137234565,2.435366204227864,2.827905162910489,1.8213182714695992,1.991293154903131,1.6296809137505839,Main Belt,High-e,JFC
(2014 JN57),2014-05-11,20.6,0.051,1.03,1.45,1.39,28.59,N,Amor,1.24,0.1693548387096773,5.038725071316718,False,0.04974209189481408,0.7080357930536959,0.8960880245566356,0.8712933659434192,3.3874364664121184,0.8064758658669484,2.034004513268056,Inner (NEA),Low-e,Stable
(2014 JH57),2014-05-10,16.2,0.418,0.43,6.27,6.13,26.54,N,Apollo,3.35,0.8716417910447762,2.256143404587224,False,0.3492474281099357,0.35767444427181594,1.9837562915454279,1.9643112344262046,3.3156394933005084,1.4701758451005926,1.5814615034894741,Near-Jupiter,High-e,JFC
(2014 JL25),2014-05-04,23.0,0.012,1.0,4.8,4.94,15.75,N,Apollo,2.9,0.6551724137931034,2.879105093820021,False,0.011928570865273802,0.6931471805599453,1.7578579175523736,1.7817091333745536,2.8183982582710754,1.3609765531356006,1.702020416042732,Near-Jupiter,High-e,JFC
(2014 HJ129),2014-04-24,21.1,0.212,1.13,4.04,4.16,8.44,N,Amor,2.585,0.562862669245648,3.16452479098348,False,0.1922718876471227,0.7561219797213337,1.6174060820832772,1.6409365794934714,2.244955980157409,1.2767584740515836,1.7527479736702858,Near-Jupiter,Moderate-e,Transition
(2014 HQ124),2014-04-23,18.9,0.007,0.63,1.07,0.78,26.37,Y,Aten,0.8500000000000001,0.2588235294117647,6.817427995090505,False,0.006975613736425242,0.48858001481867097,0.7275486072772777,0.5766133643039938,3.3094475230525875,0.6151856390902335,2.2431897098005584,Inner (NEA),Low-e,Stable
(2014 EQ49),2014-03-15,21.8,0.026,0.91,1.39,1.23,15.18,Y,Apollo,1.15,0.208695652173913,5.40947423959869,False,0.025667746748577788,0.6471032420585385,0.8712933659434192,0.8020015854720274,2.7837759116303453,0.7654678421395714,2.081363115362716,Inner (NEA),Low-e,Stable
(2014 EN45),2014-03-06,21.2,0.156,1.06,3.83,3.82,14.03,N,Amor,2.4450000000000003,0.5664621676891615,3.2232387068806823,False,0.14496577025018573,0.7227059828014897,1.5748464676644813,1.5727739280625088,2.710048203764883,1.236923904465622,1.7628715071015246,Near-Jupiter,Moderate-e,Transition
(2014 ED),2014-03-01,19.3,0.365,0.56,2.53,1.92,21.77,N,Apollo,1.545,0.6375404530744336,4.145677680225356,False,0.311154428636923,0.4446858212614457,1.2612978709452052,1.0715836162801904,3.125443880075648,0.934130650002486,1.9097781525745752,Inner (NEA),High-e,Asteroidal
(2014 CF14),2014-02-07,18.1,0.149,0.82,3.17,2.83,29.41,N,Apollo,1.995,0.5889724310776943,3.478634719358752,False,0.13889199886661863,0.5988365010887039,1.42791603581071,1.3428648031925545,3.4147715016892732,1.0969442315674127,1.805752417757507,Inner (NEA),Moderate-e,Transition
(2014 CY4),2014-02-04,21.1,0.042,0.48,4.82,4.32,15.02,Y,Apollo,2.6500000000000004,0.8188679245283017,2.75376731268154,False,0.04114194333117518,0.3920420877760237,1.7613002617433464,1.671473303353553,2.7738379416402132,1.2947271675944,1.6789043542368633,Near-Jupiter,High-e,JFC
C/2014 C3 (NEOWISE),2014-02-14,20.3,0.866,1.86,214.97,1128.89,151.78,Unknown,Comet,108.415,0.9828437024396992,-1.4361704104397102,True,0.6237971024251521,1.0508216248317612,5.375139509149321,7.029875561835298,5.028998978113213,4.695147992106323,0.1567838260568639,Extreme,Very-high-e,
(2014 BE63),2014-01-23,23.2,0.133,0.75,3.48,3.08,8.59,N,Apollo,2.115,0.6453900709219857,3.4220011257052203,False,0.12486898204586927,0.5596157879354227,1.4996230464268938,1.4060969884160703,2.2607208888953467,1.1362291522394166,1.796401056180034,Near-Jupiter,High-e,Transition
(2014 BG60),2014-01-25,20.1,0.227,1.17,4.89,5.27,8.61,N,Amor,3.03,0.6138613861386139,2.907776293990664,False,0.20457216572877437,0.7747271675523681,1.7732559976634952,1.8357763546448291,2.262804222982201,1.3937663759585914,1.7072339858614287,Near-Jupiter,High-e,JFC
(2014 AA53),2014-01-13,19.8,0.14,0.78,3.97,3.66,12.45,N,Apollo,2.375,0.6715789473684212,3.1673961697881783,False,0.1310282624064041,0.5766133643039938,1.6034198401085373,1.5390154481375544,2.5989791060478478,1.2163953243244932,1.7532454514492848,Near-Jupiter,High-e,Transition
(2014 AQ46),2014-01-02,20.1,0.205,1.13,3.7,3.75,24.6,N,Amor,2.415,0.5320910973084887,3.202477319164309,False,0.1864795669426183,0.7561219797213337,1.547562508716013,1.55814461804655,3.242592351485517,1.2281774930227534,1.7593035012056473,Near-Jupiter,Moderate-e,Transition
(2013 YP139),2013-12-29,21.6,0.004,0.76,4.05,3.73,0.82,Y,Apollo,2.405,0.6839916839916841,3.1542739564650843,False,0.003992021269537453,0.5653138090500605,1.6193882432872684,1.5539252025038415,0.5988365010887039,1.2252449396014755,1.750969954315065,Near-Jupiter,High-e,Transition
(2011 BN59),2011-01-29,20.4,0.326,1.16,4.97,5.36,20.32,N,Amor,3.065,0.6215334420880912,2.82459105092595,False,0.28216689176367077,0.7701082216960736,1.7867469274045107,1.8500283773520307,3.0596455992976437,1.4024137429997738,1.6920319804710022,Near-Jupiter,High-e,JFC
(2011 BY24),2011-01-24,22.6,0.017,0.96,2.83,2.6,13.95,N,Apollo,1.895,0.4934036939313984,3.763243547231675,False,0.016857117066422896,0.6729444732424258,1.3428648031925545,1.2809338454620642,2.704711299836695,1.0629851110249586,1.8514670709206433,Inner (NEA),Moderate-e,Asteroidal
(2010 YD3),2010-12-26,20.0,0.195,1.11,4.05,4.14,24.61,N,Amor,2.58,0.569767441860465,3.068070113460677,False,0.178146185383474,0.7466879474879752,1.6193882432872684,1.6370530794670737,3.242982900211434,1.275362800412609,1.735891383011071,Near-Jupiter,Moderate-e,Transition
(2010 YC1),2010-12-21,21.3,0.163,0.83,2.0,1.68,17.66,N,Apollo,1.415,0.4134275618374557,4.580100934375999,False,0.1510028735365274,0.6043159668533296,1.0986122886681096,0.9858167945227652,2.9263821954191975,0.8816992871045359,1.9721366457569012,Inner (NEA),Moderate-e,Asteroidal
(2010 XY82),2010-12-14,19.1,0.294,1.12,3.26,3.24,26.73,N,Amor,2.19,0.4885844748858446,3.3858728320256706,False,0.2577381960787088,0.7514160886839211,1.449269160281279,1.4445632692438664,3.3225148596276863,1.160020916796753,1.7903895248053292,Near-Jupiter,Moderate-e,Transition
(2010 XP69),2010-12-08,21.4,0.015,1.0,2.05,1.88,14.6,Y,Apollo,1.525,0.3442622950819671,4.393881587132684,False,0.014888612493750654,0.6931471805599453,1.11514159061932,1.0577902941478545,2.747270914255491,0.9262410627273231,1.945880822374385,Inner (NEA),Moderate-e,Asteroidal
(2010 XZ67),2010-12-10,19.7,0.063,1.04,3.08,2.96,11.84,N,Amor,2.06,0.4951456310679611,3.594674432827081,False,0.06109509935981088,0.712949807856125,1.4060969884160703,1.3762440252663892,2.5525652982618148,1.1184149159642893,1.8246440556153631,Near-Jupiter,Moderate-e,Asteroidal
(2010 WE9),2010-11-23,20.0,0.256,1.17,1.94,1.94,42.12,N,Amor,1.555,0.247588424437299,4.130028127365348,False,0.22793206804600694,0.7747271675523681,1.0784095813505903,1.0784095813505903,3.7639869266007415,0.9380522236556676,1.9074575560700997,Inner (NEA),Low-e,Asteroidal
(2010 UB8),2010-10-27,19.7,0.194,1.11,4.85,5.15,30.97,N,Amor,2.98,0.6275167785234899,2.755741922981457,False,0.17730901497041035,0.7466879474879752,1.766441661243765,1.8164520818184264,3.46479796307175,1.3812818192963463,1.6792727057959336,Near-Jupiter,High-e,JFC
(2010 UY6),2010-10-23,20.1,0.062,1.04,4.28,4.34,19.98,N,Amor,2.66,0.6090225563909775,3.0211568075323423,False,0.060153922819747095,0.712949807856125,1.66392609771817,1.6752256529721032,3.043569602968151,1.297463147413275,1.727588869135825,Near-Jupiter,High-e,Transition
(2010 TK7),2010-10-01,20.8,0.087,0.81,1.19,1.0,20.89,N,Aten,1.0,0.1899999999999999,6.004479893346159,False,0.08342160813907239,0.5933268452777344,0.7839015438284094,0.6931471805599453,3.0860299115347716,0.6931471805599453,2.152969964605403,Inner (NEA),Low-e,Stable
(2010 QA5),2010-08-29,22.5,0.065,1.07,4.76,4.97,33.45,N,Amor,2.915,0.6329331046312178,2.7511774456846343,False,0.06297479916138844,0.7275486072772777,1.7509374747077997,1.7867469274045107,3.5395089974596674,1.3648153294427663,1.6784210245019433,Near-Jupiter,High-e,JFC
(2010 QE2),2010-08-25,17.2,0.056,0.88,5.86,6.19,64.75,N,Apollo,3.37,0.738872403560831,2.005825846512257,False,0.054488185284069734,0.6312717768418579,1.9257074417377937,1.9726911717329554,4.185859671057874,1.4747630091074988,1.5286050040192123,Near-Jupiter,High-e,JFC
(2010 PY75),2010-08-15,18.7,0.243,0.6,4.72,4.34,31.29,N,Apollo,2.66,0.774436090225564,2.7282287769380624,False,0.21752781252857403,0.4700036292457355,1.7439688053917064,1.6752256529721032,3.4747575847701837,1.297463147413275,1.6741280294646288,Near-Jupiter,High-e,JFC
(2010 PU66),2010-08-03,22.1,0.148,0.91,2.07,1.81,18.09,N,Apollo,1.49,0.3892617449664428,4.427333287288193,False,0.13802129789737466,0.6471032420585385,1.1216775615991057,1.0331844833456543,2.949164637737656,0.9122827104766162,1.9506483938796144,Inner (NEA),Moderate-e,Asteroidal
(2010 PW58),2010-08-05,21.3,0.021,0.7,1.08,0.84,14.24,Y,Aten,0.89,0.2134831460674157,6.626199726092581,False,0.020782539182528502,0.5306282510621704,0.7323678937132266,0.6097655716208942,2.7239235502585,0.636576829071551,2.2226879340414993,Inner (NEA),Low-e,Stable
(2010 PP58),2010-08-05,22.1,0.014,0.99,3.0,2.81,4.55,N,Apollo,1.995,0.5037593984962405,3.6732702218181377,False,0.013902905168991422,0.688134638736401,1.3862943611198906,1.3376291891386096,1.713797927758343,1.0969442315674127,1.8372399323632487,Inner (NEA),Moderate-e,Asteroidal
(2010 PM58),2010-08-01,20.9,0.096,0.74,2.0,1.61,13.6,N,Apollo,1.37,0.4598540145985401,4.681649031341438,False,0.0916671885258238,0.5538851132264376,1.0986122886681096,0.959350221334602,2.6810215287142904,0.8628899551470398,1.9861690813764135,Inner (NEA),Moderate-e,Asteroidal
P/2010 P4 (WISE),2010-08-06,20.3,0.854,1.86,5.55,7.13,24.1,Unknown,Jupiter-family Comet,3.705,0.4979757085020242,2.739886020836246,False,0.6173454671436633,1.0508216248317612,1.8794650496471603,2.0955609235597192,3.222867846137738,1.548625773037343,1.6763110468551758,Near-Jupiter,Moderate-e,JFC
(2010 OK126),2010-07-30,20.7,0.149,1.08,2.83,2.74,52.56,N,Amor,1.955,0.4475703324808184,3.3265210207028657,False,0.13889199886661863,0.7323678937132266,1.3428648031925545,1.3190856114264407,3.9808025208229716,1.0834986508580615,1.7804346093612204,Inner (NEA),Moderate-e,Transition
(2010 OH126),2010-07-31,21.4,0.068,0.95,2.85,2.62,14.38,N,Apollo,1.9,0.5000000000000001,3.751013988248399,False,0.06578774053800311,0.6678293725756554,1.3480731482996928,1.2864740258376797,2.733067964077498,1.0647107369924282,1.8495451029458678,Inner (NEA),Moderate-e,Asteroidal
(2010 ON101),2010-07-30,20.2,0.044,0.96,2.3,2.08,9.31,Y,Apollo,1.63,0.411042944785276,4.19752223642177,False,0.04305948946044697,0.6729444732424258,1.1939224684724343,1.1249295969854831,2.3331142980288684,0.9669838461896731,1.9174276854247336,Inner (NEA),Moderate-e,Asteroidal
(2010 OL101),2010-07-27,20.4,0.298,1.05,4.17,4.22,26.11,N,Amor,2.61,0.5977011494252874,3.0123914352235586,False,0.26082461828189824,0.7178397931503168,1.6428726885203377,1.6524974018945473,3.299902663510574,1.2837077723447894,1.7260299394473204,Near-Jupiter,Moderate-e,Transition
(2010 OF101),2010-07-23,19.6,0.062,0.64,1.26,0.93,23.37,N,Aten,0.95,0.3263157894736842,6.215449821757862,False,0.060153922819747095,0.49469624183610705,0.8153648132841945,0.6575200029167942,3.193352867637115,0.6678293725756554,2.177176387657201,Inner (NEA),Moderate-e,Stable
(2010 OD101),2010-07-23,20.7,0.19,1.04,2.2,2.06,15.39,N,Amor,1.62,0.3580246913580247,4.214815565842949,False,0.173953307123438,0.712949807856125,1.1631508098056809,1.1184149159642893,2.796671392755738,0.9631743177730054,1.9199663129150994,Inner (NEA),Moderate-e,Asteroidal
(2010 OC101),2010-07-22,20.7,0.092,0.94,1.5,1.35,13.6,N,Apollo,1.22,0.2295081967213115,5.178740922177819,False,0.0880108773227133,0.6626879730752367,0.916290731874155,0.8544153281560676,2.6810215287142904,0.7975071958841881,2.052154366442283,Inner (NEA),Low-e,Stable
(2010 OL100),2010-07-28,19.6,0.129,0.78,3.74,3.4,22.16,N,Apollo,2.26,0.654867256637168,3.223734923576658,False,0.12133228516752498,0.5766133643039938,1.556037135706985,1.4816045409242153,3.1424266527047946,1.1817271953786161,1.7629566302190005,Near-Jupiter,High-e,Transition
(2010 OE22),2010-07-17,21.3,0.178,0.97,4.31,4.28,14.32,N,Apollo,2.64,0.6325757575757577,3.0391039644232807,False,0.16381808522939495,0.6780335427498971,1.6695918352538472,1.66392609771817,2.729159164312445,1.2919836816486492,1.7307732256810548,Near-Jupiter,High-e,Transition
(2010 NY65),2010-07-14,21.4,0.017,0.63,1.37,1.0,11.74,Y,Aten,1.0,0.37,5.997769640115202,False,0.016857117066422896,0.48858001481867097,0.8628899551470398,0.6931471805599453,2.5447466501440172,0.6931471805599453,2.152190340575389,Inner (NEA),Moderate-e,Stable
(2010 NG3),2010-07-08,17.2,0.127,1.13,4.08,4.2,26.96,N,Amor,2.605,0.5662188099808062,3.036150836096917,False,0.11955923505763925,0.7561219797213337,1.6253112615903904,1.6486586255873816,3.3307749173656096,1.2823217707369123,1.730249949844126,Near-Jupiter,Moderate-e,Transition
(2010 NB2),2010-07-10,20.3,0.102,0.5,3.67,3.01,28.66,N,Apollo,2.085,0.7601918465227818,3.215994748203024,False,0.09712671073072274,0.4054651081081644,1.541159071680806,1.3887912413184778,3.389799336709786,1.126551657357351,1.7616280219955642,Near-Jupiter,High-e,Transition
(2010 NU1),2010-07-06,21.2,0.336,0.48,4.33,3.74,34.58,N,Apollo,2.405,0.8004158004158004,2.833454487126664,False,0.289680075114454,0.3920420877760237,1.673351238177753,1.556037135706985,3.571783682237689,1.2252449396014755,1.693662807095504,Near-Jupiter,High-e,JFC
(2010 NT1),2010-07-04,19.4,0.208,1.14,1.78,1.76,39.52,N,Amor,1.46,0.2191780821917808,4.35926260766291,False,0.1889660995126232,0.76080582903376,1.0224509277025455,1.0152306797290587,3.7017956793804827,0.9001613499442713,1.9409228383239274,Inner (NEA),Low-e,Asteroidal
(2010 NG1),2010-07-02,20.4,0.081,0.57,1.13,0.78,24.74,N,Aten,0.8499999999999999,0.3294117647058823,6.81104854648602,False,0.07788653865707124,0.4510756193602166,0.7561219797213337,0.5766133643039938,3.2480462021679806,0.6151856390902334,2.242512496815599,Inner (NEA),Moderate-e,Stable
